leaderboard,benchmark,month,n_models,max_score,mean_score,std_score,bdi_entropy,bdi_gap_top20,bdi_iqr_top50,ceiling_proximity,top10_gap,top10_iqr
v1,Winogrande,2024-03,975,88.16101026045777,75.3288405885091,9.635413720701354,0.6046797652292589,0.12877497611431915,1.6179952644041151,0.8816101026045777,0.08769622029290423,0.39463299131807617
v1,Winogrande,2024-04,935,88.16101026045777,74.95410017346968,8.948828523976005,0.596524959221132,0.15369916503967088,0.31570639305445525,0.8816101026045777,0.29816714899587754,1.7363851617995323
v1,Winogrande,2024-05,751,87.7663772691397,73.82243302011419,9.311214226368277,0.5776232358824411,0.1329290076018774,1.0260457774269867,0.877663772691397,0.16662281855651884,0.7695343330702542
v1,Winogrande,2024-06,50,84.84609313338595,74.73401736385162,7.739840830697397,0.5158110818616393,0.3614007394176042,6.86661404893448,0.8484609313338595,0.517407699728142,1.2430939226519229
v1,GSM8K,2023-09,735,43.36618650492798,7.3792246238904955,8.202053318741923,0.47459923868105336,0.6863253661067,4.226686884003033,0.43366186504927984,1.1793446213461385,1.1372251705837755
v1,GSM8K,2023-10,795,54.05610310841546,7.765173730813795,8.16531056835545,0.4924717811504816,1.1930888631738559,6.406368460955264,0.5405610310841547,2.164939769185409,5.818802122820323
v1,GSM8K,2023-11,299,62.69901440485216,18.974037795938443,18.052270474142222,0.7404174957107251,0.46287059574637857,13.684609552691434,0.6269901440485216,0.38749894701373067,2.3502653525398074
v1,GSM8K,2023-12,587,73.3131159969674,40.78008092961861,24.91244705524077,0.851897005477624,0.0837955388851203,1.061410159211519,0.7331311599696739,0.13478224243955753,0.9476876421531557
v1,GSM8K,2024-01,1158,78.62016679302502,40.53242041060572,26.389889778735302,0.8310183601760089,0.30326004548900704,0.8908263836239598,0.7862016679302503,0.5896723106730692,1.952236542835493
v1,GSM8K,2024-02,940,80.0606520090978,42.76861903763328,25.522824671087193,0.8528365945900175,0.3750847931048237,1.5921152388172999,0.800606520090978,0.513857299300816,1.3836239575435911
v1,GSM8K,2024-03,975,79.83320697498104,42.77203009272759,24.84478985616157,0.8435474111510373,0.3990263756434295,1.8385140257771155,0.7983320697498104,0.6907589925027366,3.3548142532221306
v1,GSM8K,2024-04,935,86.27748294162244,42.47456953696083,25.32860932369453,0.8585101518555027,0.6743545748373969,2.5777103866565483,0.8627748294162244,1.280431303175806,8.244882486732365
v1,GSM8K,2024-05,751,88.24867323730099,46.09431548938035,26.620406543624412,0.8313948795924092,0.49479270579785345,7.410917361637615,0.8824867323730099,0.5559767500631791,2.824109173616378
v1,GSM8K,2024-06,50,85.29188779378318,51.302501895375286,23.603741809029454,0.7967718908793123,1.0813614779936955,28.79075056861258,0.8529188779378317,1.5752674585123414,1.5163002274450434
v2,IFEval,2024-06,443,82.0848681498424,37.709157726080015,16.135699693326483,0.8418778232906557,0.7923712591362841,13.209700261971548,0.820848681498424,0.7535438069753676,3.982959658151472
v2,IFEval,2024-07,174,84.34298771703524,43.13488593407255,18.840267476929988,0.872196658171315,0.8026247549484493,14.533604170268234,0.8434298771703524,1.098812878224837,4.442573482803411
v2,IFEval,2024-08,208,86.6885419575615,45.82561662883542,20.695049376745704,0.8975097092342439,0.4852563128988976,11.888899231816026,0.8668854195756149,0.7341138795679412,3.888654326077045
v2,IFEval,2024-09,460,86.62360315075111,44.3279218945827,20.366116284803038,0.9105891206308931,0.4067686603708565,5.409258545104777,0.866236031507511,0.5606482158696937,3.0374960659937926
v2,IFEval,2024-10,432,86.3837949972739,46.44967610836366,19.91935237351024,0.8886502521387282,0.4247793515357958,4.456314800285455,0.863837949972739,0.7443829286539957,0.7687380594600057
v2,IFEval,2024-11,374,84.00577135334247,46.72118226815841,21.24007988317382,0.9127079621004052,0.21114152553820387,3.323514940358251,0.8400577135334246,0.2944779112015381,0.47648572454420446
v2,IFEval,2024-12,571,89.97581971391463,50.353267178915594,20.56498284925009,0.8928989953052126,0.46145980384677526,3.059964228247736,0.8997581971391463,0.8254271505777508,2.100759318607942
v2,IFEval,2025-01,868,84.1356489669632,44.0229896970351,20.61965125191843,0.8988875118275969,0.27122187841710255,1.6261574843637163,0.8413564896696321,0.5048579743721954,3.1936096224684007
v2,IFEval,2025-02,692,85.77928784513978,47.46184007566205,20.489932217723833,0.8952207312443258,0.36403992867579626,3.2179616750222806,0.8577928784513977,0.5417723738446085,2.7233573584755106
v2,IFEval,2025-03,342,84.19061423689145,48.844631529591645,22.015345950912398,0.9147050326636094,0.24032724399330618,3.46838056357133,0.8419061423689145,0.37136033625348674,2.221910087456834
v2,BBH,2024-06,443,57.48300911876294,23.7937384619427,12.760676509351619,0.7385064233296678,0.5935494080196773,5.561937261242015,0.5748300911876294,0.900266560504754,1.5155774821441241
v2,BBH,2024-07,174,57.653184855142705,25.674452595138693,12.471879272589733,0.7361273745892991,0.8166613248146342,11.951034212607787,0.576531848551427,1.2133717243782973,8.883615340156688
v2,BBH,2024-08,208,62.83245915287989,30.09056878132413,14.304872194362547,0.7689294885342407,0.6929957959993972,7.783484823468363,0.6283245915287989,0.7671630459883514,2.132830799777551
v2,BBH,2024-09,460,62.15654929467119,28.03293264160308,12.862994551324846,0.7414166339563815,0.5082948653867313,8.599376085864606,0.6215654929467118,0.6017290839056054,3.7430128680366863
v2,BBH,2024-10,432,61.873255668787884,25.96312773068468,14.094973303298454,0.782698578661849,0.6089244082521238,7.970941568496066,0.6187325566878789,1.053587461140532,5.341919918083541
v2,BBH,2024-11,374,63.47057952429436,26.265890489301086,14.732396410349265,0.7876152840925544,0.7477848351957702,6.503675243503309,0.6347057952429436,1.1911673741095912,8.698733074405531
v2,BBH,2024-12,571,64.05301565117443,30.862623871243926,15.581650709167796,0.779301510644774,0.3960574553116083,6.317690629178962,0.6405301565117444,0.6639518413034714,3.798417190214522
v2,BBH,2025-01,868,63.438206058920265,26.182608425189102,16.002332710404385,0.7494669060753932,0.43620958770987867,2.7713732703445118,0.6343820605892027,0.8393047134795439,1.0570038521862273
v2,BBH,2025-02,692,76.69996850001888,30.46558649998637,16.007682060545715,0.803149033665857,1.0981679355789922,1.0667968769267233,0.7669996850001888,2.2814089077265964,4.750213031290585
v2,BBH,2025-03,342,65.46659667305961,28.023891123764418,17.858591896650886,0.7868762374489466,0.6066973911774715,4.192039796358621,0.6546659667305961,1.0789349565457869,1.7916170710696804
v2,MATH Lvl 5,2024-06,443,41.76737160120846,6.435469327593676,6.422060569360867,0.4041327908537298,1.0653522022579107,5.456948640483386,0.4176737160120846,1.8966096005370932,3.2477341389728167
